Level 1 - Domain,Level 2 - Capability Group,Level 3 - Specific Competency
Finance & Insurance,Capital Markets Operations,Margin Call Processing
Finance & Insurance,Capital Markets Operations,Prime Brokerage Operations
Finance & Insurance,Capital Markets Operations,Securities Lending Operations
Finance & Insurance,Credit & Lending,Credit Portfolio Monitoring
Finance & Insurance,Credit & Lending,Credit Scoring Model Implementation
Finance & Insurance,Credit & Lending,Debt Restructuring Support
Finance & Insurance,Credit & Lending,Loan Origination Processing
Finance & Insurance,Credit & Lending,Mortgage Underwriting Support
Finance & Insurance,Credit & Lending,Syndicated Loan Administration
Finance & Insurance,FinTech & RegTech,Core Banking Platform Implementation
Finance & Insurance,FinTech & RegTech,Digital Identity & Verification
Finance & Insurance,FinTech & RegTech,Open Banking API Integration
Finance & Insurance,FinTech & RegTech,Payment Gateway Integration
Finance & Insurance,FinTech & RegTech,Regulatory Reporting Automation
Finance & Insurance,FinTech & RegTech,Transaction Monitoring Systems
Finance & Insurance,Insurance Claims Operations,Claims Settlement Processing
Finance & Insurance,Insurance Claims Operations,Fraud Investigation (Insurance)
Finance & Insurance,Insurance Claims Operations,Health Claims Processing
Finance & Insurance,Insurance Claims Operations,Loss Adjustment Coordination
Finance & Insurance,Insurance Claims Operations,Motor Claims Processing
Finance & Insurance,Insurance Claims Operations,Property Claims Processing
Finance & Insurance,Insurance Operations,Actuarial Modelling Support
Finance & Insurance,Insurance Operations,Claims Handling
Finance & Insurance,Insurance Operations,Loss Adjusting
Finance & Insurance,Insurance Operations,Policy Administration
Finance & Insurance,Insurance Operations,Reinsurance Operations
Finance & Insurance,Insurance Operations,Underwriting (Aviation)
Finance & Insurance,Insurance Operations,Underwriting (Casualty)
Finance & Insurance,Insurance Operations,Underwriting (Commercial)
Finance & Insurance,Insurance Operations,Underwriting (Cyber)
Finance & Insurance,Insurance Operations,Underwriting (Health)
Finance & Insurance,Insurance Operations,Underwriting (Liability)
Finance & Insurance,Insurance Operations,Underwriting (Marine)
Finance & Insurance,Insurance Operations,Underwriting (Motor)
Finance & Insurance,Insurance Operations,Underwriting (Personal Lines)
Finance & Insurance,Insurance Operations,Underwriting (Property)
Finance & Insurance,Investment & Capital Markets,Custody & Settlement
Finance & Insurance,Investment & Capital Markets,Derivatives Operations
Finance & Insurance,Investment & Capital Markets,ESG Reporting for Investments
Finance & Insurance,Investment & Capital Markets,Execution & Trading Support
Finance & Insurance,Investment & Capital Markets,Fund Administration
Finance & Insurance,Investment & Capital Markets,Market Risk Modelling
Finance & Insurance,Investment & Capital Markets,Portfolio Management
Finance & Insurance,Payments & Cards,Card Acquiring Operations
Finance & Insurance,Payments & Cards,Card Issuing Operations
Finance & Insurance,Payments & Cards,Chargeback Management
Finance & Insurance,Payments & Cards,Payment Reconciliation Operations
Finance & Insurance,Payments & Cards,Real-time Payments Operations
Finance & Insurance,Payments & Cards,SWIFT Payments Operations
Finance & Insurance,Regulatory & Reporting,Basel III Reporting Support
Finance & Insurance,Regulatory & Reporting,EMIR Reporting Support
Finance & Insurance,Regulatory & Reporting,FCA Regulatory Reporting Support
Finance & Insurance,Regulatory & Reporting,IFRS 9 Modelling Support
Finance & Insurance,Regulatory & Reporting,MiFID II Transaction Reporting Support
Finance & Insurance,Regulatory & Reporting,Solvency II Reporting Support
Finance & Insurance,Risk & Compliance Operations,Credit Risk Modelling
Finance & Insurance,Risk & Compliance Operations,Internal Controls Testing
Finance & Insurance,Risk & Compliance Operations,Market Risk Monitoring
Finance & Insurance,Risk & Compliance Operations,Operational Risk Assessment
Finance & Insurance,Risk & Compliance Operations,Regulatory Audit Preparation
Finance & Insurance,Risk & Compliance Operations,Stress Testing Execution
Finance & Insurance,Treasury & Liquidity Management,ALM (Asset Liability Management) Support
Finance & Insurance,Treasury & Liquidity Management,Cash Flow Management
Finance & Insurance,Treasury & Liquidity Management,FX Hedging Operations
Finance & Insurance,Treasury & Liquidity Management,Interbank Funding Operations
Finance & Insurance,Treasury & Liquidity Management,Interest Rate Risk Management
Finance & Insurance,Treasury & Liquidity Management,Liquidity Forecasting
Government & Public Safety,Civic Technology,Case Management Systems (Public Sector)
Government & Public Safety,Civic Technology,Citizen Portal Development
Government & Public Safety,Civic Technology,Digital Identity Services
Government & Public Safety,Civic Technology,Government Cloud Migration
Government & Public Safety,Civic Technology,Open Data Platform Implementation
Government & Public Safety,Emergency & Response Services,Ambulance Service Support
Government & Public Safety,Emergency & Response Services,Disaster Recovery Coordination
Government & Public Safety,Emergency & Response Services,Emergency Communications Centre Operations
Government & Public Safety,Emergency & Response Services,Fire Service Support Operations
Government & Public Safety,Municipal Services,Civic Infrastructure Maintenance
Government & Public Safety,Municipal Services,Parking Management Services
Government & Public Safety,Municipal Services,Public Transport Operations Management
Government & Public Safety,Municipal Services,Urban Planning Support
Government & Public Safety,Municipal Services,Waste Collection Operations (Municipal)
Government & Public Safety,Public Safety Services,911/999 Call Handling Operations
Government & Public Safety,Public Safety Services,Critical Infrastructure Protection Support
Government & Public Safety,Public Safety Services,Emergency Management Support
Government & Public Safety,Public Safety Services,Incident Command Support
Government & Public Safety,Public Safety Services,Public Safety Dispatch Systems
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Aseptic Filling Operations
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Bioreactor Operation
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Cell Culture Operations
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Downstream Purification
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Lyophilisation Operations
Healthcare & Life Sciences,Biopharmaceutical Manufacturing,Upstream Bioprocessing
Healthcare & Life Sciences,Clinical Services,Cardiology Service Support
Healthcare & Life Sciences,Clinical Services,Community Healthcare Delivery
Healthcare & Life Sciences,Clinical Services,Diagnostic Imaging Services
Healthcare & Life Sciences,Clinical Services,Emergency Care Operations
Healthcare & Life Sciences,Clinical Services,Hospital Operations Support
Healthcare & Life Sciences,Clinical Services,Laboratory Services
Healthcare & Life Sciences,Clinical Services,Mental Health Services Support
Healthcare & Life Sciences,Clinical Services,Oncology Service Support
Healthcare & Life Sciences,Clinical Services,Pathology Lab Operations
Healthcare & Life Sciences,Clinical Services,Pharmacy Operations Support
Healthcare & Life Sciences,Clinical Services,Primary Care Operations
Healthcare & Life Sciences,Clinical Services,Radiology Operations
Healthcare & Life Sciences,Clinical Services,Rehabilitation Services Support
Healthcare & Life Sciences,Clinical Services,Surgical Services Support
Healthcare & Life Sciences,Clinical Services,Telehealth Service Delivery
Healthcare & Life Sciences,Clinical Trials & Research Operations,Adverse Event Processing
Healthcare & Life Sciences,Clinical Trials & Research Operations,Clinical Data Query Management
Healthcare & Life Sciences,Clinical Trials & Research Operations,Clinical Trial Supply Management
Healthcare & Life Sciences,Clinical Trials & Research Operations,Medical Writing Support
Healthcare & Life Sciences,Clinical Trials & Research Operations,Patient Recruitment Operations Support
Healthcare & Life Sciences,Clinical Trials & Research Operations,Randomisation & Trial Supply Management (RTSM) Support
Healthcare & Life Sciences,Clinical Trials & Research Operations,Site Feasibility & Start-up Support
Healthcare & Life Sciences,Clinical Trials & Research Operations,Trial Master File (TMF) Management
Healthcare & Life Sciences,Diagnostics & Imaging,Blood Bank Operations
Healthcare & Life Sciences,Diagnostics & Imaging,CT Scan Operations Support
Healthcare & Life Sciences,Diagnostics & Imaging,MRI Operations Support
Healthcare & Life Sciences,Diagnostics & Imaging,Pathology Sample Processing
Healthcare & Life Sciences,Diagnostics & Imaging,Radiology Reporting Support
Healthcare & Life Sciences,Diagnostics & Imaging,Ultrasound Operations Support
Healthcare & Life Sciences,Health Informatics & Data,AI for Diagnostics (Deployment)
Healthcare & Life Sciences,Health Informatics & Data,AI for Diagnostics (Development)
Healthcare & Life Sciences,Health Informatics & Data,Clinical Data Management
Healthcare & Life Sciences,Health Informatics & Data,EHR Integration
Healthcare & Life Sciences,Health Informatics & Data,HL7/FHIR Integration
Healthcare & Life Sciences,Health Informatics & Data,Health Data Governance
Healthcare & Life Sciences,Health Informatics & Data,Medical Coding Support
Healthcare & Life Sciences,Hospital Operations,Bed Management Operations
Healthcare & Life Sciences,Hospital Operations,Clinical Staffing Coordination
Healthcare & Life Sciences,Hospital Operations,Medical Records Administration
Healthcare & Life Sciences,Hospital Operations,Operating Theatre Scheduling
Healthcare & Life Sciences,Hospital Operations,Patient Flow Optimisation
Healthcare & Life Sciences,Hospital Operations,Pharmacy Dispensing Operations
Healthcare & Life Sciences,Medical Devices & Diagnostics,Clinical Evaluation Support
Healthcare & Life Sciences,Medical Devices & Diagnostics,Device Verification & Validation
Healthcare & Life Sciences,Medical Devices & Diagnostics,Electronics for Medical Devices
Healthcare & Life Sciences,Medical Devices & Diagnostics,ISO 13485 QMS
Healthcare & Life Sciences,Medical Devices & Diagnostics,Medical Device Design Controls
Healthcare & Life Sciences,Medical Devices & Diagnostics,Risk Management (ISO 14971)
Healthcare & Life Sciences,Medical Devices & Diagnostics,Sterile Packaging Design
Healthcare & Life Sciences,Medical Devices & Diagnostics,Usability Engineering (IEC 62366)
Healthcare & Life Sciences,Medical Supply Chain,Clinical Equipment Maintenance
Healthcare & Life Sciences,Medical Supply Chain,Cold Chain Management (Healthcare)
Healthcare & Life Sciences,Medical Supply Chain,Medical Inventory Management
Healthcare & Life Sciences,Medical Supply Chain,Surgical Instrument Sterilisation
Healthcare & Life Sciences,Pharma & Biotech,Analytical Method Development
Healthcare & Life Sciences,Pharma & Biotech,Batch Release Support
Healthcare & Life Sciences,Pharma & Biotech,GMP Manufacturing
Healthcare & Life Sciences,Pharma & Biotech,GxP Compliance
Healthcare & Life Sciences,Pharma & Biotech,Process Development
Healthcare & Life Sciences,Pharma & Biotech,Quality Control Testing
Healthcare & Life Sciences,Pharma & Biotech,Tech Transfer
Healthcare & Life Sciences,Pharma & Biotech,Validation (CSV/Process/Cleaning)
Healthcare & Life Sciences,Pharma Manufacturing Operations,Aseptic Gowning & Behaviour Support
Healthcare & Life Sciences,Pharma Manufacturing Operations,Batch Record Review
Healthcare & Life Sciences,Pharma Manufacturing Operations,Change Control Operations
Healthcare & Life Sciences,Pharma Manufacturing Operations,Cleanroom Environmental Monitoring
Healthcare & Life Sciences,Pharma Manufacturing Operations,Deviation Management Operations
Healthcare & Life Sciences,Pharma Manufacturing Operations,Equipment Qualification Support
Healthcare & Life Sciences,Pharma Manufacturing Operations,OOS/OOT Investigation Support
Healthcare & Life Sciences,Pharma Manufacturing Operations,Sterile Manufacturing Operations
Healthcare & Life Sciences,Regulatory Affairs,Clinical Monitoring Support
Healthcare & Life Sciences,Regulatory Affairs,Clinical Trial Management
Healthcare & Life Sciences,Regulatory Affairs,Medical Information Services
Healthcare & Life Sciences,Regulatory Affairs,Pharmacovigilance Operations
Healthcare & Life Sciences,Regulatory Affairs,Post-market Surveillance (Medical Devices)
Healthcare & Life Sciences,Regulatory Affairs,Regulatory Submissions (eCTD) Support
Healthcare & Life Sciences,Specialist Clinical Services,Cardiology Services Support
Healthcare & Life Sciences,Specialist Clinical Services,Intensive Care Unit (ICU) Support
Healthcare & Life Sciences,Specialist Clinical Services,Maternity Services Support
Healthcare & Life Sciences,Specialist Clinical Services,Neurology Services Support
Healthcare & Life Sciences,Specialist Clinical Services,Oncology Services Support
Healthcare & Life Sciences,Specialist Clinical Services,Orthopaedics Services Support
Hospitality & Tourism,Food Production Services,Catering Services Management
Hospitality & Tourism,Food Production Services,Commercial Kitchen Operations
Hospitality & Tourism,Food Production Services,Food Safety Auditing
Hospitality & Tourism,Food Production Services,Menu Development Services
Hospitality & Tourism,Guest Services,Concierge Operations
Hospitality & Tourism,Guest Services,Event Booking Operations
Hospitality & Tourism,Guest Services,Guest Complaint Resolution Operations
Hospitality & Tourism,Guest Services,Housekeeping Scheduling
Hospitality & Tourism,Guest Services,Property Management System (PMS) Administration
Hospitality & Tourism,Hospitality Operations,Events & Conference Operations
Hospitality & Tourism,Hospitality Operations,Food & Beverage Operations
Hospitality & Tourism,Hospitality Operations,Front Office Operations
Hospitality & Tourism,Hospitality Operations,Hotel Operations Management
Hospitality & Tourism,Hospitality Operations,Housekeeping Operations
Hospitality & Tourism,Hospitality Operations,Revenue Management (Hospitality)
Hospitality & Tourism,Travel Services,Airline Ground Handling Support
Hospitality & Tourism,Travel Services,Reservation Systems Management
Hospitality & Tourism,Travel Services,Tour Operations Management
Hospitality & Tourism,Travel Services,Visitor Experience Design
Industrial Furnaces,Electric Furnaces,
Industrial Furnaces,Stress Relieving Furnaces,
Machining,Boring,
Machining,Broaching,
Machining,CNC Laser Cutting,
Machining,CNC Machining,
Machining,CNC Milling,
Machining,CNC Turning,
Machining,Cutting,
Machining,Drilling,
Machining,Fettling,
Machining,Gear Cutting,
Machining,Grinding,
Machining,Hobbing,
Machining,Manual Machining,
Machining,Milling,
Machining,Profiling,
Machining,Rotary Transfer,
Machining,Sawing,
Machining,Splining,
Machining,Tapping,
Machining,Thread Grinding,
Machining,Threading,
Machining,Turning,
Manufacturing & Industrial,Advanced Manufacturing,Additive Manufacturing (Metal)
Manufacturing & Industrial,Advanced Manufacturing,Additive Manufacturing (Polymer)
Manufacturing & Industrial,Advanced Manufacturing,Automation & Robotics Integration
Manufacturing & Industrial,Advanced Manufacturing,Digital Twin Development
Manufacturing & Industrial,Advanced Manufacturing,Industrial IoT Deployment
Manufacturing & Industrial,Advanced Manufacturing,Lean Manufacturing Implementation
Manufacturing & Industrial,Advanced Materials Processing,Additive Manufacturing Post-processing
Manufacturing & Industrial,Advanced Materials Processing,Carbon Fibre Processing
Manufacturing & Industrial,Advanced Materials Processing,Ceramic Processing
Manufacturing & Industrial,Advanced Materials Processing,Composite Layup Operations
Manufacturing & Industrial,Assembly & Fabrication,Adhesion
Manufacturing & Industrial,Assembly & Fabrication,Assembly
Manufacturing & Industrial,Assembly & Fabrication,Bottling
Manufacturing & Industrial,Assembly & Fabrication,Fabrication (General)
Manufacturing & Industrial,Assembly & Fabrication,Fabrication (Metal)
Manufacturing & Industrial,Assembly & Fabrication,Fabrication (Plastic)
Manufacturing & Industrial,Assembly & Fabrication,Kitting
Manufacturing & Industrial,Automated Production Systems,Automated Assembly Line Operation
Manufacturing & Industrial,Automated Production Systems,CNC Multi-axis Programming
Manufacturing & Industrial,Automated Production Systems,Industrial Robot Maintenance
Manufacturing & Industrial,Automated Production Systems,Machine Vision Inspection Systems
Manufacturing & Industrial,Automated Production Systems,Robotic Welding Operations
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Casting
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Closed Die Press Forging
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Compression Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Diecasting
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Drop Forging
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Forging
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Gas Injection Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Injection Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Insert Moulding / Encapsulation
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Plastic Extrusion
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Transfer Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Two Shot Moulding
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Upset Forging
Manufacturing & Industrial,"Casting, Moulding, Forming, & Forging",Vacuum Forming
Manufacturing & Industrial,Craft and Trade Processes,Carpentry and Woodworking
Manufacturing & Industrial,Craft and Trade Processes,Food Technology
Manufacturing & Industrial,Craft and Trade Processes,Leatherwork
Manufacturing & Industrial,Craft and Trade Processes,Locksmithing
Manufacturing & Industrial,Craft and Trade Processes,Manual Sewing Machining
Manufacturing & Industrial,Craft and Trade Processes,Plumbing
Manufacturing & Industrial,Craft and Trade Processes,Silversmithing
Manufacturing & Industrial,Craft and Trade Processes,Upholstery & Trim
Manufacturing & Industrial,Industrial Specialisms,Cement & Concrete Products Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Food & Beverage Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Furniture Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Glass Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Packaging Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Plastics Processing
Manufacturing & Industrial,Industrial Specialisms,Pulp & Paper Manufacturing
Manufacturing & Industrial,Industrial Specialisms,Rubber Processing
Manufacturing & Industrial,Industrial Specialisms,Textiles Manufacturing
Manufacturing & Industrial,Maintenance & Reliability,CMMS Administration
Manufacturing & Industrial,Maintenance & Reliability,Condition Monitoring (Vibration)
Manufacturing & Industrial,Maintenance & Reliability,Lubrication Management
Manufacturing & Industrial,Maintenance & Reliability,Maintenance Shutdown Planning
Manufacturing & Industrial,Maintenance & Reliability,Preventative Maintenance Scheduling
Manufacturing & Industrial,Maintenance & Reliability,Spare Parts Management (Maintenance)
Manufacturing & Industrial,Materials & Processing,Casting & Foundry
Manufacturing & Industrial,Materials & Processing,Composite Manufacturing
Manufacturing & Industrial,Materials & Processing,Forging
Manufacturing & Industrial,Materials & Processing,Injection Moulding
Manufacturing & Industrial,Materials & Processing,Non-Destructive Testing (NDT)
Manufacturing & Industrial,Materials & Processing,Precision Welding
Manufacturing & Industrial,Metal Forming & Press-work,Bending
Manufacturing & Industrial,Metal Forming & Press-work,CNC Bending
Manufacturing & Industrial,Metal Forming & Press-work,CNC Punching
Manufacturing & Industrial,Metal Forming & Press-work,Cold Roll Forming
Manufacturing & Industrial,Metal Forming & Press-work,Crushing
Manufacturing & Industrial,Metal Forming & Press-work,Folding
Manufacturing & Industrial,Metal Forming & Press-work,Metal Sheet Bending
Manufacturing & Industrial,Metal Forming & Press-work,Metal Spinning
Manufacturing & Industrial,Metal Forming & Press-work,Piercing
Manufacturing & Industrial,Metal Forming & Press-work,Presswork
Manufacturing & Industrial,Metal Forming & Press-work ,Spring Winding
Manufacturing & Industrial,Metal Forming & Press-work,Stamping
Manufacturing & Industrial,Metal Forming & Press-work,Tube Bending
Manufacturing & Industrial,Metal Forming & Press-work,Wire Forming
Manufacturing & Industrial,Precision Manufacturing,Injection Tooling Production
Manufacturing & Industrial,Precision Manufacturing,Metal Stamping Operations
Manufacturing & Industrial,Precision Manufacturing,Micro-machining Operations
Manufacturing & Industrial,Precision Manufacturing,Powder Metallurgy Processing
Manufacturing & Industrial,Precision Manufacturing,Press Tool Manufacturing
Manufacturing & Industrial,Precision Manufacturing,Tool & Die Manufacturing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Digital Scanning
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Fine Art Printing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Hot Foil Printing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Image Retouching/Manipulation
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Photography
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Printing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Screen Printing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Shredding
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Silk Screen Printing
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Stamp Cutting
Manufacturing & Industrial,"Printing, Photography & Ink Stamps",Type & Image Setting
Manufacturing & Industrial,"Printing, Photography & Ink Stamps ",Video Production/Editing
Manufacturing & Industrial,Process Manufacturing,Beverage Bottling Operations
Manufacturing & Industrial,Process Manufacturing,Capsule Filling Operations
Manufacturing & Industrial,Process Manufacturing,Cosmetics Formulation & Filling
Manufacturing & Industrial,Process Manufacturing,Food Packaging Line Operations
Manufacturing & Industrial,Process Manufacturing,Industrial Mixing Operations
Manufacturing & Industrial,Process Manufacturing,Pharmaceutical Tablet Compression
Manufacturing & Industrial,Prototyping,Prototyping
Manufacturing & Industrial,Prototyping,Rapid Prototyping
Manufacturing & Industrial,Quality & Inspection Operations,Final Inspection Operations
Manufacturing & Industrial,Quality & Inspection Operations,First Article Inspection (FAI)
Manufacturing & Industrial,Quality & Inspection Operations,Gauge R&R Studies
Manufacturing & Industrial,Quality & Inspection Operations,In-process Inspection Operations
Manufacturing & Industrial,Quality & Inspection Operations,Incoming Inspection Operations
Manufacturing & Industrial,Quality & Inspection Operations,Nonconformance Management
Manufacturing & Industrial,"Quality, Statistics & Measurement",CMM
Manufacturing & Industrial,"Quality, Statistics & Measurement ",Calibration
Manufacturing & Industrial,"Quality, Statistics & Measurement",Certification & Approvals
Manufacturing & Industrial,"Quality, Statistics & Measurement",Data Collection
Manufacturing & Industrial,"Quality, Statistics & Measurement",Measuring
Manufacturing & Industrial,"Quality, Statistics & Measurement",Quality Control
Manufacturing & Industrial,Surface Engineering & Treatments,Heat Treatment
Manufacturing & Industrial,Surface Engineering & Treatments,Surface Coating
Manufacturing & Industrial,Surface treatment & coating,Annealing
Manufacturing & Industrial,Surface treatment & coating ,Anodising
Manufacturing & Industrial,Surface treatment & coating ,Blasting
Manufacturing & Industrial,Surface treatment & coating ,Braising
Manufacturing & Industrial,Surface treatment & coating,Engraving
Manufacturing & Industrial,Surface treatment & coating ,Heat Treatment
Manufacturing & Industrial,Surface treatment & coating,Paint formulation and mixing
Manufacturing & Industrial,Surface treatment & coating,Painting
Manufacturing & Industrial,Surface treatment & coating,Plating inc. electroplating & electroless plating
Manufacturing & Industrial,Surface treatment & coating,Polishing
Manufacturing & Industrial,Surface treatment & coating,Powder Coating
Manufacturing & Industrial,Surface treatment & coating,Pre-treatment cleaning & chemical anti-corrosion
Manufacturing & Industrial,Surface treatment & coating,Surfacing
Manufacturing & Industrial,Tooling,Progression Tooling
Manufacturing & Industrial,Tooling,Tool Maintenance
Manufacturing & Industrial,Tooling,Tool Making
Manufacturing & Industrial,Tooling,Tool Manufacturing
Manufacturing & Industrial,"Welding, Brazing & Soldering ",ARC Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Brazing
Manufacturing & Industrial,"Welding, Brazing & Soldering",CO2 Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Gas Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Laser Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",MIG Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Projection Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Robotic Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Soldering
Manufacturing & Industrial,"Welding, Brazing & Soldering ",Spot Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",TIG Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Ultrasonic Welding
Manufacturing & Industrial,"Welding, Brazing & Soldering",Welding
Maritime & Offshore,Marine Engineering,Marine Electrical Systems
Maritime & Offshore,Marine Engineering,Marine HVAC Systems
Maritime & Offshore,Marine Engineering,Marine Systems Integration
Maritime & Offshore,Marine Engineering,Naval Architecture Support
Maritime & Offshore,Marine Engineering,Propulsion Systems (Marine) Support
Maritime & Offshore,Marine Engineering,Shipbuilding Support
Maritime & Offshore,Offshore Energy,Offshore Platform Maintenance Support
Maritime & Offshore,Offshore Energy,Offshore Subsea Inspection
Maritime & Offshore,Offshore Energy,Offshore Wind Installation Support
Maritime & Offshore,Offshore Energy,Offshore Wind O&M
Maritime & Offshore,Offshore Energy,ROV Operations Support
Maritime & Offshore,Port & Logistics,Container Terminal Operations
Maritime & Offshore,Port & Logistics,Customs & Port Compliance
Maritime & Offshore,Port & Logistics,Harbour Master Support Services
Maritime & Offshore,Port & Logistics,Marine Freight Forwarding
Maritime & Offshore,Port & Logistics,Port Operations Support
Maritime & Offshore,Ship Operations,Dry Dock Maintenance Operations
Maritime & Offshore,Ship Operations,Marine Navigation Support
Maritime & Offshore,Ship Operations,Marine Safety Compliance
Maritime & Offshore,Ship Operations,Vessel Crew Management
Media & Entertainment,Advertising Operations,Ad Server Trafficking
Media & Entertainment,Advertising Operations,Brand Safety Monitoring
Media & Entertainment,Advertising Operations,Campaign Performance Reporting
Media & Entertainment,Advertising Operations,Creative Versioning Operations
Media & Entertainment,Advertising Operations,Media Buying Operations
Media & Entertainment,Advertising Operations,Programmatic Advertising Operations
Media & Entertainment,Content Production,Animation Production
Media & Entertainment,Content Production,Audio Production
Media & Entertainment,Content Production,Broadcast Engineering Support
Media & Entertainment,Content Production,Post-production Editing
Media & Entertainment,Content Production,Studio Operations
Media & Entertainment,Content Production,Video Production
Media & Entertainment,Digital Media & Distribution,Ad Operations (Digital)
Media & Entertainment,Digital Media & Distribution,Audience Analytics
Media & Entertainment,Digital Media & Distribution,Content Delivery Network (CDN) Operations
Media & Entertainment,Digital Media & Distribution,Digital Rights Management
Media & Entertainment,Digital Media & Distribution,Streaming Platform Operations
Media & Entertainment,Film & TV Production,Lighting & Grip Operations
Media & Entertainment,Film & TV Production,Location Scouting Support
Media & Entertainment,Film & TV Production,Production Scheduling
Media & Entertainment,Film & TV Production,Sound Engineering (Film)
Media & Entertainment,Film & TV Production,Visual Effects (VFX) Production
Media & Entertainment,Publishing,Digital Publishing Operations
Media & Entertainment,Publishing,Editorial Production
Media & Entertainment,Publishing,Print Production Management
Mining & Metals,Exploration & Geoscience,Drill Core Logging Support
Mining & Metals,Exploration & Geoscience,Geochemical Analysis Support
Mining & Metals,Exploration & Geoscience,Geological Mapping Support
Mining & Metals,Exploration & Geoscience,Mineral Exploration Support
Mining & Metals,Exploration & Geoscience,Resource Estimation Support
Mining & Metals,Extraction & Mine Operations,Blasting Operations Support
Mining & Metals,Extraction & Mine Operations,Haulage Fleet Operations Support
Mining & Metals,Extraction & Mine Operations,Materials Handling (Mining)
Mining & Metals,Extraction & Mine Operations,Mine Ventilation Support
Mining & Metals,Extraction & Mine Operations,Open Pit Mine Planning Support
Mining & Metals,Extraction & Mine Operations,Underground Mine Planning Support
Mining & Metals,Mineral Processing,Crushing & Grinding Operations
Mining & Metals,Mineral Processing,Dewatering & Tailings Management
Mining & Metals,Mineral Processing,Flotation Process Support
Mining & Metals,Mineral Processing,Leaching Process Support
Mining & Metals,Mineral Processing,Refining Operations Support
Mining & Metals,Mineral Processing,Smelting Operations Support
Mining & Metals,Sustainability & Safety,Environmental Impact Management (Mining)
Mining & Metals,Sustainability & Safety,Mine Closure Planning Support
Mining & Metals,Sustainability & Safety,Tailings Risk Management
Mining & Metals,Sustainability & Safety,Worker Safety Programmes (Mining)
"Oil, Gas & Petrochemicals",Downstream & Refining,Asset Integrity (Downstream)
"Oil, Gas & Petrochemicals",Downstream & Refining,Catalyst Management Support
"Oil, Gas & Petrochemicals",Downstream & Refining,Petrochemical Process Support
"Oil, Gas & Petrochemicals",Downstream & Refining,Process Safety Management (PSM)
"Oil, Gas & Petrochemicals",Downstream & Refining,Refinery Operations Support
"Oil, Gas & Petrochemicals",Downstream & Refining,Turnaround Planning
"Oil, Gas & Petrochemicals",HSE & Compliance,COMAH Compliance Support
"Oil, Gas & Petrochemicals",HSE & Compliance,HAZOP Facilitation
"Oil, Gas & Petrochemicals",HSE & Compliance,Permit to Work System Implementation
"Oil, Gas & Petrochemicals",HSE & Compliance,Process Hazard Analysis Support
"Oil, Gas & Petrochemicals",HSE & Compliance,Safety Case Preparation Support
"Oil, Gas & Petrochemicals",Midstream & Logistics,Crude & Product Scheduling
"Oil, Gas & Petrochemicals",Midstream & Logistics,Marine Loading Operations
"Oil, Gas & Petrochemicals",Midstream & Logistics,Pipeline Integrity Management
"Oil, Gas & Petrochemicals",Midstream & Logistics,Pipeline SCADA Operations
